date	Lucky Charms	Frosted Flakes	Count Chocula	Honey Nut Cheerios	Capn Crunch	Wheaties	Reeses_Puffs	Rice Krispies	Corn Flakes	Raisin Bran	Cookie Crisp	Apple Jacks	Grape-Nuts	Trix	Honeycomb
20131006	22.22222222	16.66666667	22.22222222	11.11111111	5.555555556	11.11111111	0	100	83.33333333	11.11111111	16.66666667	5.555555556	0	16.66666667	27.77777778
20131013	33.33333333	26.66666667	20	13.33333333	0	13.33333333	0	133.3333333	106.6666667	20	13.33333333	6.666666667	0	13.33333333	40
20131020	25	25	31.25	12.5	6.25	12.5	0	118.75	100	18.75	12.5	6.25	0	12.5	31.25
20131027	20	20	26.66666667	13.33333333	0	13.33333333	0	153.3333333	113.3333333	20	13.33333333	6.666666667	0	20	40
20131103	31.25	25	12.5	12.5	0	12.5	0	100	93.75	18.75	6.25	6.25	0	12.5	43.75
20131110	25	25	12.5	12.5	6.25	12.5	0	118.75	100	18.75	12.5	6.25	0	12.5	43.75
20131117	26.66666667	26.66666667	6.666666667	13.33333333	0	13.33333333	0	140	120	20	13.33333333	6.666666667	0	13.33333333	40
20131124	16.66666667	25	8.333333333	8.333333333	8.333333333	16.66666667	0	208.3333333	200	16.66666667	16.66666667	8.333333333	0	8.333333333	50
20131201	28.57142857	21.42857143	7.142857143	14.28571429	0	14.28571429	0	178.5714286	114.2857143	28.57142857	14.28571429	7.142857143	0	14.28571429	50
20131208	30.76923077	30.76923077	7.692307692	15.38461538	0	23.07692308	0	246.1538462	146.1538462	23.07692308	15.38461538	7.692307692	0	15.38461538	61.53846154
20131215	23.07692308	23.07692308	0	15.38461538	7.692307692	15.38461538	0	353.8461538	176.9230769	15.38461538	23.07692308	0	0	15.38461538	76.92307692
20131222	30	30	10	10	0	20	0	380	260	10	20	10	0	10	90
20131229	19.04761905	14.28571429	9.523809524	4.761904762	0	9.523809524	0	90.47619048	76.19047619	14.28571429	9.523809524	4.761904762	0	9.523809524	23.80952381
20140105	15	15	5	10	0	15	0	85	75	15	10	5	0	15	20
20140112	22.22222222	16.66666667	5.555555556	11.11111111	5.555555556	11.11111111	0	94.44444444	94.44444444	22.22222222	11.11111111	5.555555556	0	16.66666667	27.77777778
20140119	23.52941176	23.52941176	5.882352941	11.76470588	0	23.52941176	0	94.11764706	94.11764706	23.52941176	17.64705882	5.882352941	0	17.64705882	29.41176471
20140126	9.090909091	6.818181818	2.272727273	6.818181818	0	6.818181818	0	43.18181818	40.90909091	9.090909091	6.818181818	2.272727273	0	6.818181818	11.36363636
20140202	6.41025641	3.846153846	1.282051282	3.846153846	0	3.846153846	0	28.20512821	20.51282051	5.128205128	2.564102564	1.282051282	0	2.564102564	6.41025641
20140209	22.72727273	13.63636364	4.545454545	9.090909091	0	13.63636364	0	109.0909091	77.27272727	18.18181818	9.090909091	4.545454545	0	13.63636364	27.27272727
20140216	23.52941176	17.64705882	5.882352941	11.76470588	0	17.64705882	0	94.11764706	94.11764706	23.52941176	11.76470588	5.882352941	0	11.76470588	29.41176471
20140223	35.29411765	17.64705882	5.882352941	11.76470588	0	23.52941176	0	100	100	23.52941176	11.76470588	5.882352941	0	11.76470588	29.41176471
